date,open,close,high,low,volume,amount,pct_change
2022-10-10,6136.71,5984.50,6154.06,5964.62,102448137,122828919867.10,-2.29
2022-10-11,5994.76,6017.72,6044.28,5939.07,94238001,111536274573.70,0.56
2022-10-12,6017.67,6192.65,6192.65,5918.02,120053053,146042371698.10,2.91
2022-10-13,6162.71,6252.22,6311.51,6146.40,128700906,157054880040.10,0.96
2022-10-14,6296.35,6406.46,6427.47,6286.67,141802026,181411953828.90,2.47
2022-10-17,6380.21,6472.45,6476.40,6370.15,132444628,171128918405.80,1.03
2022-10-18,6490.60,6508.50,6551.80,6447.78,129920946,172917916317.80,0.56
2022-10-19,6492.60,6461.15,6533.57,6460.70,124647381,165890298124.80,-0.73
2022-10-20,6431.99,6429.70,6525.80,6342.15,133524986,176048476245.50,-0.49
2022-10-21,6433.33,6432.33,6469.09,6387.77,119879781,151129742814.50,0.04
2022-10-24,6448.87,6378.43,6554.37,6335.07,141357126,180064469820.10,-0.84
2022-10-25,6346.15,6355.78,6411.17,6248.84,129321410,165200236897.80,-0.36
2022-10-26,6358.06,6491.69,6548.62,6348.99,150663892,200200044240.90,2.14
2022-10-27,6497.52,6461.61,6544.42,6459.92,146773822,196363432004.90,-0.46
2022-10-28,6412.61,6239.93,6446.60,6216.27,156120495,197514525527.80,-3.43
2022-10-31,6201.75,6292.62,6349.12,6201.28,145874788,187134463252.30,0.84
2022-11-01,6299.03,6439.82,6440.92,6277.62,152262990,199551407228.60,2.34
2022-11-02,6434.95,6524.51,6557.01,6424.66,162568563,216303778309.90,1.32
2022-11-03,6467.23,6566.84,6576.37,6461.30,141513704,199422978711.40,0.65
2022-11-04,6569.19,6709.64,6719.51,6568.78,165062434,230118260588.30,2.17
2022-11-07,6713.73,6713.64,6749.76,6660.98,160254947,220210872290.00,0.06
2022-11-08,6707.01,6694.96,6708.08,6647.44,135471787,180763670672.50,-0.28
2022-11-09,6694.40,6676.01,6736.67,6664.37,126564565,164404506999.30,-0.28
2022-11-10,6638.52,6603.31,6663.11,6583.86,142137645,183303850089.50,-1.09
2022-11-11,6749.07,6643.48,6776.74,6641.76,191648966,237140698560.20,0.61
2022-11-14,6639.02,6599.67,6688.01,6570.49,174303985,212896585325.60,-0.66
2022-11-15,6593.63,6752.51,6752.51,6576.87,170939160,221716230403.50,2.32
2022-11-16,6749.96,6702.04,6775.38,6687.32,155021163,195240529664.70,-0.75
2022-11-17,6685.94,6714.50,6714.50,6629.90,159191253,198847162647.50,0.19
2022-11-18,6711.89,6658.40,6752.84,6650.74,168105221,215157473530.90,-0.84
2022-11-21,6622.60,6689.33,6689.33,6585.28,137155265,179567680622.80,0.46
2022-11-22,6682.05,6583.23,6692.24,6556.34,150853226,191781768773.50,-1.59
2022-11-23,6572.16,6567.99,6592.30,6451.96,144366228,179521416697.20,-0.23
2022-11-24,6573.47,6586.86,6611.80,6553.96,126197332,159909378876.60,0.29
2022-11-25,6573.02,6512.16,6573.02,6508.52,124579396,149034248952.40,-1.13
2022-11-28,6426.93,6492.71,6494.98,6412.03,129881780,152031616662.10,-0.30
2022-11-29,6505.90,6594.32,6607.46,6505.90,157448301,180031860496.50,1.56
2022-11-30,6591.68,6590.31,6619.27,6561.27,155403136,178510447618.40,-0.06
2022-12-01,6645.47,6658.43,6691.51,6639.63,162150678,199785991939.80,1.03
2022-12-02,6644.44,6680.54,6721.69,6637.16,149424028,179613917631.10,0.33
2022-12-05,6710.73,6714.37,6723.57,6675.60,178915025,206225540021.10,0.51
2022-12-06,6690.92,6703.55,6731.07,6667.00,154810114,191497741686.10,-0.16
2022-12-07,6684.61,6705.29,6732.26,6677.52,155989281,188674730727.40,0.03
2022-12-08,6694.84,6662.34,6699.30,6648.35,148611632,176772060301.40,-0.64
2022-12-09,6661.90,6680.38,6684.15,6626.94,160349164,201813642791.20,0.27
2022-12-12,6669.17,6655.67,6680.61,6626.87,153653068,186669163108.80,-0.37
2022-12-13,6654.67,6593.67,6654.75,6586.87,149692723,176834414923.00,-0.93
2022-12-14,6600.41,6570.02,6626.70,6556.81,139664931,167786593317.70,-0.36
2022-12-15,6557.90,6597.55,6605.70,6545.00,128850544,160225836004.70,0.42
2022-12-16,6569.06,6519.44,6581.93,6504.05,134434849,161172961055.70,-1.18
2022-12-19,6518.38,6390.77,6537.14,6367.45,135485972,156179605225.00,-1.97
2022-12-20,6380.22,6341.58,6389.05,6321.14,110008606,131077432572.40,-0.77
2022-12-21,6341.22,6289.14,6344.66,6255.35,102729735,122909095334.90,-0.83
2022-12-22,6314.55,6186.93,6319.57,6171.18,113245456,131875231616.70,-1.63
2022-12-23,6154.66,6160.75,6197.24,6120.94,97094729,116283463648.40,-0.42
2022-12-26,6161.94,6275.52,6276.11,6161.94,100031210,125237422919.10,1.86
2022-12-27,6288.61,6325.63,6328.36,6256.04,109270500,136753468429.10,0.80
2022-12-28,6304.59,6268.47,6306.95,6251.30,105263874,125061546620.90,-0.90
2022-12-29,6253.79,6261.83,6322.25,6245.23,102382211,121083655952.70,-0.11
2022-12-30,6283.50,6281.62,6296.24,6262.60,97146496,116528198886.60,0.32
2023-01-03,6286.81,6423.70,6433.79,6275.69,133181680,160707712589.00,2.26
2023-01-04,6423.43,6421.28,6445.62,6385.00,131040093,156632578040.30,-0.04
2023-01-05,6427.45,6485.47,6489.99,6413.75,121661526,155822047721.10,1.00
2023-01-06,6482.88,6500.32,6539.76,6478.63,129383997,165796221277.10,0.23
2023-01-09,6523.14,6535.75,6559.46,6517.57,122047871,162944069605.70,0.55
2023-01-10,6541.82,6540.20,6546.54,6505.10,111628121,146634283725.90,0.07
2023-01-11,6544.57,6486.90,6562.35,6480.95,112882942,147472868624.70,-0.81
2023-01-12,6495.16,6489.57,6529.81,6469.48,104937470,134846593005.30,0.04
2023-01-13,6505.24,6517.51,6517.51,6475.66,110761936,138907307000.40,0.43
2023-01-16,6521.45,6591.81,6628.73,6521.45,141070888,175416637498.10,1.14
2023-01-17,6600.25,6597.49,6622.32,6573.28,108421111,139660962013.50,0.09
2023-01-18,6613.74,6613.01,6635.85,6593.37,105834674,125976031143.10,0.24
2023-01-19,6605.45,6676.08,6678.18,6590.42,107589560,135675334823.20,0.95
2023-01-20,6690.14,6736.85,6740.13,6690.14,122762682,154872288667.40,0.91
2023-01-30,6815.14,6786.45,6839.84,6780.37,170769332,211140043941.40,0.74
2023-01-31,6763.40,6805.28,6820.14,6758.90,147712346,180790076274.90,0.28
2023-02-01,6815.06,6916.72,6916.73,6812.79,169651661,208871365597.30,1.64
2023-02-02,6926.58,6933.23,6969.79,6908.70,167133986,212328053407.10,0.24
2023-02-03,6922.79,6925.08,6934.32,6829.40,157558880,194152771393.40,-0.12
2023-02-06,6902.49,6891.41,6928.28,6853.91,146059027,182865349058.40,-0.49
2023-02-07,6900.23,6924.32,6924.42,6864.21,150108752,187069724944.10,0.48
2023-02-08,6927.33,6877.72,6932.99,6873.60,138510731,173815150504.90,-0.67
2023-02-09,6864.03,6999.18,6999.18,6850.57,149147697,194994550267.40,1.77
2023-02-10,6991.23,6975.39,7015.25,6926.48,152432051,189923379511.10,-0.34
2023-02-13,6976.33,7052.18,7052.60,6973.41,160848480,207706779975.40,1.10
2023-02-14,7064.53,7061.45,7070.33,7028.79,151786438,199029649600.40,0.13
2023-02-15,7062.36,7063.60,7076.87,7038.99,159779328,207038398259.60,0.03
2023-02-16,7063.93,6925.20,7098.92,6878.35,217381617,263155308269.90,-1.96
2023-02-17,6931.99,6868.55,6954.85,6861.30,172656902,203845829244.80,-0.82
2023-02-20,6871.86,6959.36,6959.75,6825.87,165614379,196438661978.30,1.32
2023-02-21,6969.35,6990.48,7008.55,6939.59,171690946,203386321239.50,0.45
2023-02-22,6961.15,6998.43,7014.56,6947.12,144601016,175966912644.50,0.11
2023-02-23,6997.78,6966.79,7008.68,6929.61,141862467,172438837844.80,-0.45
2023-02-24,6971.65,6944.82,6983.16,6906.69,121078826,151978026582.40,-0.32
2023-02-27,6928.03,6894.30,6950.88,6876.25,129300939,162346177198.50,-0.73
2023-02-28,6911.36,6955.57,6955.57,6874.93,131036025,164461396666.40,0.89
2023-03-01,6955.48,7002.77,7002.77,6932.76,155908555,194162937428.70,0.68
2023-03-02,6999.23,6972.31,7021.11,6963.06,166505708,202422136341.80,-0.43
2023-03-03,6970.21,6967.94,6997.42,6921.27,154598247,184879618934.50,-0.06
2023-03-06,6973.52,6997.04,7004.71,6933.99,150317134,194154258047.90,0.42
2023-03-07,6991.56,6855.34,6993.18,6855.34,159757780,189478401770.30,-2.03
2023-03-08,6838.63,6891.46,6894.36,6832.04,121280600,152705779612.00,0.53
2023-03-09,6898.24,6892.86,6911.54,6851.91,126671261,155909335205.20,0.02
2023-03-10,6854.41,6798.30,6864.94,6795.22,140338591,170506323947.60,-1.37
2023-03-13,6780.02,6832.62,6832.62,6750.22,141191187,176170851055.00,0.50
2023-03-14,6824.25,6769.85,6824.25,6690.09,156336435,197124650947.30,-0.92
2023-03-15,6797.82,6803.47,6844.97,6794.41,139147010,171749343248.60,0.50
2023-03-16,6769.61,6689.78,6777.91,6677.68,141881845,175508119056.30,-1.67
2023-03-17,6726.96,6736.37,6781.95,6717.14,161535345,204155942106.60,0.70
2023-03-20,6745.95,6721.45,6760.91,6694.52,175313441,230174336044.60,-0.22
2023-03-21,6726.80,6809.39,6810.29,6725.83,146584935,195253243661.60,1.31
2023-03-22,6830.19,6840.33,6845.76,6810.76,160318267,211699058082.50,0.45
2023-03-23,6827.68,6868.83,6869.18,6809.85,165448056,224978318720.20,0.42
2023-03-24,6874.54,6867.95,6880.19,6840.75,181680229,240207097974.50,-0.01
2023-03-27,6874.39,6886.69,6900.63,6830.95,195064403,270611684185.50,0.27
2023-03-28,6881.11,6825.38,6884.54,6816.45,170468837,236725308502.20,-0.89
2023-03-29,6825.13,6806.28,6839.90,6785.15,160806595,220165772651.10,-0.28
2023-03-30,6802.07,6807.64,6814.69,6751.69,146175756,195037119351.50,0.02
2023-03-31,6806.61,6875.81,6878.32,6801.94,151581950,202602542866.00,1.00
2023-04-03,6878.09,6962.20,6966.69,6878.09,194554477,274916847266.70,1.26
2023-04-04,6960.91,6953.36,6966.99,6918.13,213211962,306141970189.20,-0.13
2023-04-06,6926.19,6983.03,6988.37,6921.66,191009494,281226984709.70,0.43
2023-04-07,6987.01,7042.89,7043.22,6978.35,167437320,242608190860.40,0.86
2023-04-10,7050.24,6968.57,7052.74,6950.77,181007868,265199179441.10,-1.06
2023-04-11,6967.03,6984.14,6986.44,6937.02,162793965,228357143486.70,0.22
2023-04-12,6989.69,7021.02,7027.84,6979.28,180300938,252639249640.40,0.53
2023-04-13,7011.66,6966.82,7029.10,6956.68,182936746,253331499905.90,-0.77
2023-04-14,6978.59,7020.09,7026.12,6942.57,174751802,249159555578.90,0.76
2023-04-17,7009.47,7012.77,7030.24,6989.70,173463101,235338063547.90,-0.10
2023-04-18,7002.26,6997.07,7014.38,6961.51,160278095,221281575130.00,-0.22
2023-04-19,6988.65,6965.58,7011.93,6955.36,168968117,237689578666.40,-0.45
2023-04-20,6956.37,6963.90,6963.90,6911.98,174240785,249390407796.80,-0.02
2023-04-21,6954.10,6773.51,6963.08,6773.51,193177324,266671875897.90,-2.73
2023-04-24,6766.52,6725.27,6771.65,6692.22,172365639,233604520118.80,-0.71
2023-04-25,6708.28,6603.24,6711.57,6517.27,194399820,247485613389.70,-1.81
2023-04-26,6577.36,6624.40,6667.43,6573.88,184561745,254123867620.10,0.32
2023-04-27,6597.73,6633.49,6672.22,6593.38,174202091,232047938559.90,0.14
2023-04-28,6617.32,6723.30,6724.57,6617.32,189027616,241929257739.10,1.35
2023-05-04,6701.49,6733.97,6738.44,6698.64,202137047,252755421973.50,0.16
2023-05-05,6723.16,6653.65,6723.98,6612.74,185876962,232757192566.90,-1.19
2023-05-08,6660.92,6702.50,6714.39,6660.92,204204619,239780230242.10,0.73
2023-05-09,6696.67,6611.64,6705.74,6610.57,217518238,256339239608.80,-1.36
2023-05-10,6599.79,6627.31,6648.04,6576.40,172301277,212227315487.50,0.24
2023-05-11,6634.16,6622.52,6653.38,6618.19,155805155,192273319326.50,-0.07
2023-05-12,6608.83,6535.94,6630.56,6535.11,153329115,183608124248.60,-1.31
2023-05-15,6537.40,6585.91,6585.91,6466.45,161126819,191863235546.20,0.76
2023-05-16,6586.72,6516.29,6586.72,6501.31,142434107,178199462179.20,-1.06
2023-05-17,6500.44,6554.98,6555.77,6497.38,125778063,156078814574.60,0.59
2023-05-18,6557.37,6583.74,6595.49,6554.08,144368801,186333515794.60,0.44
2023-05-19,6571.09,6602.32,6621.43,6545.08,135432989,179071786325.50,0.28
2023-05-22,6589.35,6595.98,6608.88,6556.74,131198543,163204580648.00,-0.10
2023-05-23,6591.56,6528.45,6600.80,6528.45,128595517,158376852884.40,-1.02
2023-05-24,6507.06,6513.18,6564.51,6476.69,125855093,163476977070.10,-0.23
2023-05-25,6502.23,6501.00,6541.39,6424.45,135834643,175437754998.30,-0.19
2023-05-26,6495.35,6546.41,6558.11,6451.73,126275617,170164842111.00,0.70
2023-05-29,6560.16,6534.12,6579.15,6518.03,152482657,204321522052.10,-0.19
2023-05-30,6517.71,6564.47,6565.48,6461.09,151317651,193152158102.50,0.46
2023-05-31,6556.52,6561.65,6581.93,6523.27,142968364,197141081474.90,-0.04
2023-06-01,6539.26,6574.76,6616.53,6515.02,153962339,208776080194.40,0.20
2023-06-02,6585.73,6626.28,6640.53,6585.73,149263604,198301484192.20,0.78
2023-06-05,6631.22,6632.96,6647.20,6609.02,137150594,186650947904.20,0.10
2023-06-06,6625.09,6489.81,6625.09,6475.26,151757959,198453126088.90,-2.16
2023-06-07,6487.20,6488.56,6517.32,6467.30,131404709,169239132087.30,-0.02
2023-06-08,6477.94,6442.48,6478.32,6399.78,135583070,172327155118.50,-0.71
2023-06-09,6446.62,6495.56,6500.45,6427.92,151977579,202023488654.40,0.82
2023-06-12,6488.20,6530.16,6549.78,6474.86,145153220,197419702843.10,0.53
2023-06-13,6525.05,6554.96,6561.02,6519.97,145636301,206066233138.30,0.38
2023-06-14,6556.03,6578.12,6591.69,6547.49,149195931,212483094306.00,0.35
2023-06-15,6579.46,6613.95,6618.62,6568.61,147955427,220050814755.80,0.54
2023-06-16,6613.10,6669.01,6674.62,6602.04,155708689,223131327342.60,0.83
2023-06-19,6674.12,6693.30,6707.23,6673.81,168025755,246819992645.00,0.36
2023-06-20,6683.92,6693.91,6717.71,6671.99,158860653,240661461466.90,0.01
2023-06-21,6679.15,6548.41,6681.57,6548.41,153983944,226296807530.60,-2.17
2023-06-26,6504.97,6420.97,6535.49,6404.04,154732688,209607215406.00,-1.95
2023-06-27,6425.84,6507.27,6518.98,6424.33,135607119,178812817549.40,1.34
2023-06-28,6504.50,6475.51,6505.47,6367.35,145808385,192407496661.60,-0.49
2023-06-29,6465.10,6520.04,6542.28,6462.07,135252145,186518747502.90,0.69
2023-06-30,6507.50,6602.04,6615.97,6500.86,144498924,203403995419.00,1.26
2023-07-03,6617.08,6612.88,6640.34,6571.84,160977356,225625497659.90,0.16
2023-07-04,6610.66,6638.45,6639.82,6599.60,139742795,203584274308.70,0.39
2023-07-05,6632.37,6584.42,6642.55,6575.73,133052280,184778773163.20,-0.81
2023-07-06,6573.58,6567.08,6619.29,6558.89,124077268,173721970871.40,-0.26
2023-07-07,6553.56,6521.43,6558.11,6486.11,123599541,164996211438.80,-0.70
2023-07-10,6539.08,6526.85,6556.15,6501.75,120450936,158540731784.70,0.08
2023-07-11,6531.63,6579.37,6579.37,6514.99,119603644,163273435604.70,0.80
2023-07-12,6576.94,6482.99,6576.96,6476.85,140204471,187051032495.20,-1.46
2023-07-13,6497.81,6548.31,6553.60,6497.76,135117757,180915189196.40,1.01
2023-07-14,6554.53,6544.46,6571.14,6538.65,135631971,188566810412.70,-0.06
2023-07-17,6524.61,6516.56,6525.19,6481.29,126408773,169117052479.30,-0.43
2023-07-18,6519.76,6510.03,6537.91,6490.06,119968653,159965850726.50,-0.10
2023-07-19,6508.52,6492.35,6530.54,6459.44,109136335,141853309418.70,-0.27
2023-07-20,6497.78,6408.76,6512.45,6404.12,122150962,155152822235.90,-1.29
2023-07-21,6397.15,6401.42,6447.30,6378.20,113590849,138788097492.40,-0.11
2023-07-24,6397.43,6393.79,6437.99,6370.05,109049465,129838947141.00,-0.12
2023-07-25,6448.27,6498.27,6499.42,6444.58,147365727,173378677340.30,1.63
2023-07-26,6497.59,6457.25,6497.59,6441.56,149583522,156686884841.10,-0.63
2023-07-27,6458.48,6407.55,6475.83,6397.59,144624358,153183204639.70,-0.77
2023-07-28,6389.43,6465.38,6471.68,6369.37,157267532,166557072689.70,0.90
2023-07-31,6475.83,6515.85,6549.75,6475.83,183815980,200589879396.80,0.78
2023-08-01,6513.14,6507.41,6521.97,6482.17,184326464,183590037269.70,-0.13
2023-08-02,6499.86,6496.02,6515.07,6475.42,168646289,171110955343.60,-0.18
2023-08-03,6472.11,6499.54,6502.55,6460.28,163471395,164830188575.00,0.05
2023-08-04,6514.54,6535.32,6561.74,6505.86,194622999,205415679148.20,0.55
2023-08-07,6524.30,6503.98,6532.52,6485.66,168919412,185333349118.40,-0.48
2023-08-08,6496.59,6471.34,6500.90,6457.25,142743414,154646581021.40,-0.50
2023-08-09,6452.98,6420.98,6464.36,6411.23,132319467,148343587966.10,-0.78
2023-08-10,6409.22,6426.81,6438.43,6392.89,131957692,134873259680.60,0.09
2023-08-11,6428.88,6304.64,6428.88,6304.64,149016729,149330410481.60,-1.90
2023-08-14,6251.97,6319.41,6320.95,6213.98,138392221,145626319567.70,0.23
2023-08-15,6318.55,6261.73,6325.57,6203.44,122703107,132851531982.60,-0.91
2023-08-16,6240.71,6186.40,6255.81,6186.40,124958759,132390724363.00,-1.20
2023-08-17,6167.65,6247.60,6255.05,6128.13,129135238,139152590239.60,0.99
2023-08-18,6245.13,6117.11,6259.79,6117.11,139212539,139942744386.90,-2.09
2023-08-21,6107.92,6057.17,6154.25,6057.17,117091696,119633708945.60,-0.98
2023-08-22,6082.72,6099.19,6108.21,5984.44,144282422,153871289474.60,0.69
2023-08-23,6084.15,5973.67,6084.15,5973.65,128422382,135807067809.50,-2.06
2023-08-24,5989.43,5987.97,6049.55,5942.57,134197451,146793181319.90,0.24
2023-08-25,5960.59,5879.03,5980.24,5855.88,140117108,150562437510.20,-1.82
2023-08-28,6204.10,5922.16,6204.10,5907.94,210870098,213172935998.40,0.73
2023-08-29,5909.46,6108.76,6121.59,5907.96,186689576,200633240451.90,3.15
2023-08-30,6117.41,6139.63,6185.27,6102.09,167499560,194127658982.30,0.51
2023-08-31,6130.64,6104.30,6130.95,6087.33,143040409,161004803812.90,-0.58
2023-09-01,6108.13,6107.20,6136.78,6086.27,124017053,138221321938.30,0.05
2023-09-04,6129.54,6198.76,6198.76,6109.10,155507281,167770708192.20,1.50
2023-09-05,6188.52,6167.64,6206.35,6154.83,141067999,162636723668.80,-0.50
2023-09-06,6146.39,6195.38,6202.32,6117.81,129717664,154853582103.20,0.45
2023-09-07,6185.33,6083.49,6185.33,6083.49,132254116,150714755551.10,-1.81
2023-09-08,6063.24,6102.49,6128.84,6062.90,118918279,142083251234.90,0.31
2023-09-11,6114.07,6182.64,6204.43,6083.39,144003299,172589292458.90,1.31
2023-09-12,6175.63,6184.61,6212.26,6169.04,120512253,144771928170.40,0.03
2023-09-13,6169.53,6103.14,6177.38,6059.29,125032676,137493570903.00,-1.32
2023-09-14,6101.77,6068.71,6102.49,6037.72,114441844,123059669839.30,-0.56
2023-09-15,6082.19,6079.06,6117.82,6046.87,124196903,137783233761.50,0.17
2023-09-18,6058.30,6083.97,6106.27,6029.97,118394457,132969980890.50,0.08
2023-09-19,6077.40,6031.04,6077.40,6011.91,112745993,121079846424.00,-0.87
2023-09-20,6020.91,5982.56,6038.75,5982.11,105727974,115642454583.70,-0.80
2023-09-21,5968.35,5939.66,5999.40,5931.10,99709529,107167135605.80,-0.72
2023-09-22,5934.27,6054.93,6056.45,5923.24,133556772,147800973210.00,1.94
2023-09-25,6051.82,6027.39,6058.47,6014.61,129532612,146282703213.50,-0.45
2023-09-26,6017.30,5996.11,6034.85,5996.05,114061563,127029193782.80,-0.52
2023-09-27,5989.80,6034.06,6063.91,5989.16,121662330,141278698421.40,0.63
2023-09-28,6048.83,6078.94,6085.53,6048.68,127759256,144764775657.90,0.74
2023-10-09,6073.28,6059.97,6075.46,6025.36,136755964,151374309942.00,-0.31
2023-10-10,6069.91,6043.48,6084.93,6037.47,140815312,164183443354.70,-0.27
2023-10-11,6056.03,6059.40,6105.42,6040.50,143601130,169349269562.30,0.26
2023-10-12,6088.55,6104.46,6106.95,6064.82,145452824,171667913017.60,0.74
2023-10-13,6080.33,6081.87,6091.54,6063.56,144115089,174075416253.50,-0.37
2023-10-16,6089.42,6024.36,6089.48,5996.79,164459217,187595023327.50,-0.95
2023-10-17,6027.91,6011.37,6028.02,5967.30,139421234,158570292157.50,-0.22
2023-10-18,5992.51,5908.01,5992.51,5905.84,145065153,164665612255.60,-1.72
2023-10-19,5879.81,5842.89,5929.58,5842.41,155497801,169977393153.20,-1.10
2023-10-20,5816.72,5774.32,5855.46,5767.02,138964349,152073198748.00,-1.17
2023-10-23,5754.18,5638.14,5754.25,5613.73,145845854,156462250900.60,-2.36
2023-10-24,5654.93,5719.32,5734.55,5625.71,151553066,163599460545.30,1.44
2023-10-25,5753.68,5778.90,5811.27,5752.79,163597326,178946013549.60,1.04
2023-10-26,5745.53,5811.69,5817.63,5724.00,157275832,177171582140.60,0.57
2023-10-27,5792.61,5916.68,5937.54,5774.63,172179646,201532115498.50,1.81
2023-10-30,5899.38,6006.56,6017.28,5898.69,179281052,219628050414.60,1.52
2023-10-31,6003.37,5969.34,6013.73,5934.20,165318441,196000266081.50,-0.62
2023-11-01,5969.81,5958.42,5983.87,5943.19,147451128,169629133630.90,-0.18
2023-11-02,5958.48,5885.25,5983.22,5885.25,140144412,159352391952.80,-1.23
2023-11-03,5895.60,5973.17,5992.75,5895.60,146120206,172570856141.90,1.49
2023-11-06,6007.43,6096.57,6097.04,6007.43,186603146,215540583016.60,2.07
2023-11-07,6088.51,6116.76,6132.14,6068.24,173946707,206605084921.00,0.33
2023-11-08,6114.99,6138.94,6160.24,6099.29,183964088,224318842687.90,0.36
2023-11-09,6135.07,6100.69,6160.98,6087.73,162244319,197856013542.60,-0.62
2023-11-10,6079.47,6088.56,6097.61,6055.99,141567605,169645048925.20,-0.20
2023-11-13,6107.27,6144.63,6144.63,6095.27,150359606,185937464876.60,0.92
2023-11-14,6143.48,6181.98,6189.50,6133.22,160172363,195770027635.70,0.61
2023-11-15,6226.20,6207.27,6234.54,6184.90,167613188,214464439439.30,0.41
2023-11-16,6188.83,6145.15,6193.64,6143.82,143682116,180547587296.00,-1.00
